"GSM1220074" "GSM1220075" "GSM1220076" "GSM1220083" "GSM1220103" "GSM1220104" "GSM1220105" "GSM1220106" "GSM319718" "GSM319738" "GSM319743" "GSM319745" "GSM319746" "GSM319748" "GSM319809" "GSM319811" "GSM319813"
"A2M" 10.7446085857602 8.72858189177308 9.54289008117481 10.1558079300735 10.8010716464904 10.9059326286377 10.8252702205991 10.2445274340677 9.15639524073754 9.97321264366349 8.1287017817229 10.5886082511569 8.8602579018634 10.6244702437178 10.818594801573 11.6648156683281 10.5334969326107
"A4GALT" 5.85174076891846 5.12376467229137 5.73706336631687 6.24852909634337 5.93519744731222 5.35206024530118 5.54961464577629 5.22747104655496 5.52141736230294 5.0532309249154 6.04826073545654 4.97028758185885 5.84191550578275 5.24801656900396 5.06144386232443 4.41117845062151 5.47525695002698
"AACS" 7.10299160550403 6.99873076101926 6.55246261324838 7.66971257102229 7.78916219686587 6.71598169380613 7.11788973592464 8.83594754628407 7.22676461092595 6.1568169380286 7.39920708195935 7.75529618175304 7.68296196566389 7.2305391257014 8.50358438275361 7.79904157551266 7.5017501868614
"AADAC" 5.64815150594372 5.10552525371195 6.09567440894824 6.63980813866755 4.59570274467325 5.29693523032204 6.03170869528945 5.58426627180611 5.79173425453354 4.35758893499966 6.32846682707539 7.14019871619321 9.39675478329853 4.12532413617254 5.97097253886712 4.86491679879819 3.82800754636323
"AAK1" 7.98616014002739 5.66832523000405 6.59457458730089 7.43405716320783 6.78483073124337 6.21885169092678 6.1912114043041 6.62866832993371 7.67841039183138 7.45099775835892 7.90975141373506 7.83096257271289 7.68251697847227 6.41339186284407 7.74344396050271 7.24715512534822 7.62666553418275
"AAMP" 8.11147059787471 8.01149440081625 7.77826766725918 8.63374764932064 7.9559575332657 8.05592673721948 8.33368181897582 8.88942152868409 8.4296583093509 8.18570520792439 8.69437284280656 8.39121358379621 8.11666184515991 8.00635224660517 8.42004697631023 8.16513944998647 8.4303321670071
"AARS" 10.0630295066532 8.9176342551357 9.38292099097174 9.86018250068133 9.51416393576633 9.08465458272711 8.67904642849888 9.32326621062058 9.36075339276946 9.50202274107747 9.48129129971667 9.40097946547861 9.19502055845842 10.3427784227185 9.82928272209769 9.28667441159481 9.81046057650416
"AASDHPPT" 6.85280518861255 8.53629106685301 8.76525713731691 7.11050459272226 7.7862081633046 8.92804775752536 7.85173481388221 8.03949455110921 8.64929600181886 8.78371739218455 8.50202357935277 8.50021053074048 7.9154621810256 8.37059714479777 8.17222312136857 8.17488847308151 7.76099797501507
"AASS" 5.25826416081212 4.13698857099406 5.25973245998597 5.01289258806297 4.62847878029587 3.81989243958801 5.64159066440493 5.25943923722057 5.09895860601532 5.42287355216 5.03712978769699 5.26814822800705 5.53315130690913 5.39713453663769 5.38042238151664 5.4931616244174 5.38157198940226
"AATF" 8.43304532064953 7.86673453769017 8.03030377567092 9.13814187112427 7.52711076154705 7.95480679971297 8.57151936013091 8.89887648532302 8.53047690596479 8.65302054216139 8.09002737907714 8.17204184808958 7.95449973083298 8.31122405049105 8.91369611676452 9.2648229229321 7.71806440066761
"ABAT" 6.95718197885194 6.03670609884994 6.32765507121331 6.04973933664854 7.16523760283733 6.22056292548089 6.4972407303489 7.27789035257428 6.77994367793355 6.33396053743378 6.20939447239808 6.24274931080258 7.17004678249954 6.18115368411818 6.33182861500439 6.99886336479661 6.76922714147133
"ABCA1" 8.44472991607881 7.71515659310585 7.69517332898721 8.66465770823462 9.25455413452131 7.29558136169513 8.80462223793189 8.75463403536938 7.37456005944604 7.03139244984035 6.79337178918431 8.69603776049433 9.23466980981692 8.2427041310087 9.66712944749171 6.968215366304 8.92636286524176
"ABCA12" 4.66660495309287 5.19530830071059 5.17382248085493 5.18744462058027 4.30502883463079 5.4767395882526 5.00028064268809 5.36335575817413 4.72686140678297 4.76137711443361 5.35168319632439 5.6417505708434 5.12613751992617 4.96914898805717 4.40121401665678 2.26735346253523 4.26187744922722
"ABCA2" 7.26983698133099 7.55246651210526 6.57077566260681 6.93717293404952 6.67531036523761 5.90610737974435 6.74732535906068 6.27990446690691 6.37706404588375 6.42413937889614 6.54102709038783 6.51746470995627 6.58769406344716 6.56556984455097 6.62224286151649 6.42552124630813 6.60480673488718
"ABCA3" 8.47988394496313 7.76017743661511 7.74975307105363 8.99137007476055 6.17911512205972 6.83340447168221 5.58912494969797 6.60471500453916 7.1933771940033 6.340410904 7.6417096812818 4.74790609507481 7.2727713072911 6.58768236005377 5.78363414322201 5.15531707909002 6.92622846524379
"ABCA4" 5.5186104807971 5.40509287174426 5.42779199310763 5.38239598071579 4.92895040594954 6.24632618498843 8.00405142767471 5.20090296083007 4.23500044681689 4.98169020321468 4.79928664878578 6.87414927626276 5.13501241093376 4.98511387036904 4.19339663941897 5.54464513661978 5.32624899106691
"ABCA5" 5.35404624646621 6.08514729358255 5.91351696295415 6.69028653915827 5.93207264167186 5.40371133091721 7.32206628448398 7.65352186665204 7.70132090346789 6.97478788375756 6.49446621411137 7.13251512377682 5.91897901268572 7.04700481814992 6.65480542545448 7.30852542953063 6.6463072399062
"ABCA6" 4.71613773224674 4.44420289034859 4.89889686824595 4.60582015767833 6.41558524531397 4.47016956739157 6.09370087712655 4.26803539208661 4.18541599394219 3.57380018722456 5.3050194535955 6.3266735754193 5.45919894323322 3.0026566997513 5.41605890924359 4.39164017858631 3.53967992714462
"ABCA7" 7.028594613446 6.41764804973485 5.81933995500873 6.34442460384331 6.8454246261559 6.92124737801813 6.44025025079133 6.09954199815418 6.73705967865781 6.02581678467363 6.68139067968087 5.69736803476279 6.68270384191627 6.15973982199926 6.59422064061765 6.63411212115893 5.96055727967102
"ABCA8" 5.1480979808052 4.27120757600952 4.30298637666438 4.43028116562663 4.62042202833369 4.3866157428892 7.08437531933621 4.30201134584357 4.04324398330919 4.83484450911813 2.58240306691797 8.44915041069657 6.4365040787678 6.1281694332177 6.04851721907419 7.27405262951931 4.33783978865674
"ABCB1" 6.34354894252238 5.17471455628681 5.29087837845902 5.08840099210927 5.37791841921961 4.95554428176101 5.6921953283585 4.94467858312574 5.64828482808581 5.99846685807152 5.74188350860859 5.92434971585316 5.41657369265251 5.74968457494141 5.7694499944287 5.46735683041495 5.88676681282568
"ABCB4" 6.45778470089245 5.25686600849677 5.68803644229295 5.48582379558237 5.40498762906103 5.12230314967553 6.1469566681821 4.11662285585129 6.98072441868925 5.78985608249703 5.5071735582257 6.11997728966313 7.40286449386048 6.4152722987813 6.20040275658849 7.63982835411227 6.31826198842419
"ABCB6" 6.9289368551154 6.5671283928331 6.33537051233959 7.42102441279132 7.08673245748054 6.82685930419485 7.62539083406095 6.78974553594885 6.32094053411303 8.00386139372458 8.1228221564116 7.30713333345725 7.49640286456672 7.97659769550064 6.00919584001269 6.62778635685529 6.82629802603028
"ABCB7" 7.66891132896477 6.99451809530272 7.77478092846435 6.76996080256214 7.16632652382344 8.64884675212403 8.3706251881884 8.29115044282189 7.66551052045213 7.23598465885294 6.91300884137076 7.90173273625379 7.6394065090057 7.91809414750441 7.32459661356651 7.28813630930233 7.76549672092873
"ABCB9" 6.90786609401384 5.43235518681304 5.23529184269702 6.08625274092652 7.41338090413513 6.09061958324357 4.8370694093947 4.77553184074931 7.50496190624783 5.85648326856608 6.10977783021654 5.62186520767504 7.22320804870887 5.6839737349717 6.2838025891136 7.36060764989607 5.51021236061926
"ABCC1" 7.70040306436779 6.56180780241928 6.94406132701167 7.52769273264196 7.35108567276991 8.15468038484361 7.21480564853036 7.08438905612954 7.32045850405947 7.12817231071925 7.19069261372087 7.12569505992345 6.52977737125825 7.11135182491881 7.20007424628317 7.26226430941045 7.43022044628241
"ABCC10" 7.98525829504488 7.62091964372733 7.63747416422493 7.50505602092625 7.81961456219611 7.68714149009362 6.79410177396577 7.24035003083705 7.09000666561397 8.43494940838264 7.47841835279541 7.35079265721021 6.74454198296857 8.25923297935025 7.48515909119593 7.16703237732123 6.93823162266651
"ABCC2" 4.52385836343692 6.35259296347249 5.49931044239231 4.61537081662852 5.49931044239231 4.04474765782422 4.39815191489149 4.59248589747557 6.04029754938633 6.14809549243434 6.45010105008495 3.93356176424066 5.9902338076659 6.53141610581044 4.07626238381103 5.90884350804464 6.69742704621277
"ABCC3" 8.50835798527144 7.43366681155202 7.74919115816108 9.25244301401159 8.76140894839645 7.26020590983389 7.65421132801628 5.90795905936056 7.5285349660301 7.11645001733171 7.12096529432674 7.23388982154928 7.50420039969997 7.40456498884242 7.40700038610768 7.12677129338559 7.36363651650088
"ABCC4" 5.26665993873014 4.9040451638551 5.05904416126607 5.26934011558542 6.72980890277401 7.31935097050833 5.14670446837981 6.63007504857935 5.84832250587242 5.57751161671405 6.26133836120961 6.49755579395907 5.9803146284006 6.21707602453902 6.39072098388601 6.43653389627566 6.40195782945787
"ABCC5" 8.24136118556668 7.51551664493053 6.94275586434633 7.07750720762214 7.36568570047979 7.08056971789779 7.50154897827219 9.18848848009679 7.65302376216998 7.71573893758252 8.33341153619607 7.65602127996022 7.00639396705348 7.36709681515442 8.404613262231 7.12637591622602 9.06602510499884
"ABCC6" 5.44548024351883 5.94010740550603 6.09017681074159 6.4844722652393 6.06914942153094 6.96634548474786 6.69040311694275 6.77869899141755 6.58643472318819 6.87156570482005 6.74312917704212 6.59783508829997 4.43685325123412 6.46534114879459 6.57135715925195 6.84247765369489 6.8048927047704
"ABCC8" 5.00838872659532 5.57990361233456 5.51968573045515 5.2789488856187 5.21879926057601 5.39929000947729 4.97834477170196 5.42938387827326 5.32022154101463 5.11474408612503 5.77045159388685 4.90327764348721 4.97196959021939 6.05265089930998 5.93913939204842 5.01902081718044 5.21317544084158
